AD	 n. 公元；广告（ad）
meat	 n.  肉
meat	 n. 肉，肉类（食用）
medal	 n.  奖牌， 奖章
medal	 n. 勋章，奖章；纪念章
media	 n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
medical	 adj.  医学的， 医疗的
medical	 adj. 医学的；药的；内科的 n. 医生；体格检查
medicine	 n.  内服药； 医学； 内科学
medicine	 n. 药；医学；内科；巫术 v. 用药物治疗；给…用药
medium	 adj. 中等的；平均的 n.  媒介， 工具； 手段， 方法
medium	 adj. 中间的，中等的；半生熟的 n. 方法；媒体；媒介；中间物
meet	 v.  [met-met] 遇见， 碰到； 接； 和…见面， 和…会面
meet	 v. 满足；遇见；对付 n. 集会 adj. 合适的；适宜的
meeting	 n.  会议， 集会； 会合， 相会； 运动会
meeting	 n. 会议；会见；集会；汇合点 v. 会面；会合（meet的ing形式）
melon	 n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
member	 n.  成员， 会员
member	 n. 成员；会员；议员
memorial	 n. 纪念碑，纪念馆；纪念仪式；纪念物 adj. 记忆的；纪念的，追悼的
memorize	 v. 记住，背熟；记忆
memory	 n.  记忆； 回忆； 纪念； 存储
memory	 n. 记忆，记忆力；内存，[计] 存储器；回忆
mend	 v.  修理， 修补； 改良， 改进； 修正， 改正； 恢复健康， 痊愈
mend	 v. 修理，修补；改善；修改 n. 好转，改进；修补处
mental	 adj. 精神的；脑力的；疯的 n. 精神病患者
mentally	 adv. 精神上，智力上；心理上
mention	 n&v.  提及， 说起
mention	 v. 提到，谈到；提及，论及；说起 n. 提及，说起
menu	 n.  菜单
menu	 n. 菜单
merchant	 n. 商人，批发商；店主 adj. 商业的，商人的
merciful	 adj. 仁慈的；慈悲的；宽容的
mercy	 n. 仁慈，宽容；怜悯；幸运；善行
merely	 adv. 仅仅，只不过；只是
merry	 adj. 愉快的；微醉的；嬉戏作乐的 n. 甜樱桃
mess	 n.  凌乱的状态， 脏乱的状态； 混乱的局面， 困
mess	 n. 混乱；食堂，伙食团；困境；脏乱的东西 v. 弄乱，弄脏；毁坏；使就餐
message	 n.  信息， 便条， 口信； 要点； 要旨
message	 n. 消息；差使；启示；预言；广告词 v. 报信，报告；[通信] 报文
messy	 adj. 凌乱的，散乱的；肮脏的，污秽的；麻烦的
metal	 n.  金属
metal	 n. 金属；合金 v. 以金属覆盖 adj. 金属制的
meter	 n.  米， 公尺
method	 n.  方法， 办法； 秩序， 条理
method	 n. 方法；条理；类函数 adj. 使用体验派表演方法的
metre	 n. 米；公尺；韵律
microcomputer	 n. 微电脑；[计] 微型计算机
microscope	 n. 显微镜
microwave	 n.  微波； 微波炉
microwave	 n. 微波
midday	 n. 中午；正午 adj. 正午的
middle	 adj.  中部的， 中间的 n. 中部，中间
middle	 adj. 中间的，中部的；中级的，中等的 n. 中间，中央；腰部
midnight	 n. 午夜，半夜12点钟 adj. 半夜的；漆黑的
might	 modal verb. 可以〔用于礼貌地提出建议〕 n. 力量；威力；权力
might	 n. 力量；威力；势力 v. 可以；或许（may的过去式）；应该 aux. 可能；也许
mild	 adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的 n. （英国的一种）淡味麦芽啤酒
mile	 n.  英里
mile	 n. 英里；一英里赛跑；较大的距离
milk	 n. 牛奶；乳状物 v. 榨取；挤…的奶
milk	 v.  挤 n. 牛奶
million	 n. 百万；无数 adj. 百万的；无数的 num. 百万
million	 num. 百万
millionaire	 n. 百万富翁；大富豪 adj. 100万以上人口的
mind	 n.  头脑， 精神， 理智； 智力； 注意力， 心思； 意向， 想法
mind	 n. 理智，精神；意见；智力；记忆力 v. 介意；专心于；照料
mine	 n. 矿，矿藏；矿山，矿井；地雷，水雷 v. 开采，采掘；在…布雷 pron. 我的
mine	 pron. 我的 v.  开矿， 采矿 n. 矿，矿山；地雷；水雷
mineral	 n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示） adj. 矿物的；矿质的
minibus	 n. 面包车（等于microbus）；小型公共汽车；中客车 vi. 乘中客车
minimum	 n. 最小值；最低限度；最小化；最小量 adj. 最小的；最低的
miniskirt	 n. 超短裙；迷你短裙
minister	 n. 部长；大臣；牧师 v. 执行牧师职务；辅助或伺候某人
ministry	 n. （政府的）部门
minority	 n. 少数民族；少数派；未成年 adj. 少数的；属于少数派的
minus	 prep. 减，减去 n. 负号，减号；不足；负数 adj. 减的；负的
minute	 n.  分， 分钟； 一会儿， 片刻； 此时此刻， 立刻
minute	 n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录 v. 将…记录下来 adj. 微小的，详细的 [maɪˈnjuːt; US -ˈnuːt; maɪˋnut]
mirror	 n. 镜子；真实的写照；榜样 v. 反射；反映
mirror	 v.  反映； 反射， 映照 n. 镜子
misleading	 adj.  令人误解的， 导致错误结论的； 引入歧途的； 欺骗的； 迷惑人的
miss	 n. 女士，小姐，年轻未婚女子
miss	 v.  未击中， 未达到； 未赶上， 错过； 思念， 想念； 未明白； 避免， 逃脱 n. 小姐
missile	 n. 导弹；投射物 adj. 导弹的；可投掷的；用以发射导弹的
mist	 n. 薄雾；视线模糊不清；模糊不清之物 v. 下雾；变模糊
mistake	 n. 〔行为、看法、言辞等上的〕错误 v. 弄错，误解，误会
mistake	 n. 错误；误会；过失 v. 弄错；误解
mistaken	 adj. 错误的；弄错的；被误解的 v. 弄错（mistake的过去分词）
misunderstand	 v. 误解；误会
mix	 v. 使混合，配制；相混，搞混 n.  混合， 搅和
mix	 v. 配制；混淆；使混和；使结交 n. 混合；混合物；混乱
mixture	 n. 混合；混合物；混合剂
mm	 abbr. 毫米（millimeter） n. 缅甸的域名
mobile	 adj. 可移动的；机动的；易变的；非固定的 n. 运动物体
model	 n.  模型； 模特儿； 模范， 典型
model	 n. 模型；典型；模范；模特儿；样式 v. 模拟；塑造；模仿 adj. 模范的；作模型用的
modem	 n. 调制解调器（等于modulator-demodulator）
modern	 adj.  现代的， 新式的
modern	 adj. 现代的，近代的；时髦的 n. 现代人；有思想的人
modest	 adj.  谦虚的， 谨慎的； 适度的
modest	 adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的 n. (Modest)人名；(罗)莫代斯特；(德)莫德斯特；(俄)莫杰斯特
mom	 n.  妈妈
moment	 n.  片刻， 瞬间， 时刻； 机会， 时机
moment	 n. 片刻，瞬间，时刻；重要，契机
mommy	 n. 妈咪
money	 n.  钱， 货币
money	 n. 钱；货币；财富
monitor	 n. 监视器；监听器；监控器；显示屏；班长 v. 监控
monkey	 n.  猴子
monkey	 n. 猴子；顽童 v. 胡闹；捣蛋
monster	 adj.  巨大的， 庞大的 n. 怪物；妖怪；巨人，巨兽，巨大的东西
month	 n.  月， 一个月的时间
month	 n. 月，一个月的时间
monument	 n. 纪念碑；历史遗迹；不朽的作品 vt. 为…树碑
moon	 n.  月球， 月亮； 卫星
moon	 n. 月亮；月球；月光；卫星 v. 闲荡；出神
mop	 v. 擦干；用拖把拖洗 n. 拖把；蓬松的头发；鬼脸
moral	 adj. 道德的；精神上的；品性端正的 n. 道德；寓意
more	 adv. 更多；此外；更大程度地 adj. 更多的；附加的 pron. 更多的数量 n. 更多
more	 adv. 更，更多 adj.  更多的； 更大的
morning	 n.  早晨， 上午
morning	 n. 早晨；黎明；初期
most	 adv. 最；极其，十分 adj.  最多的， 最大的； 大多数的， 大部分的
most	 adv. 最；非常，极其；最多；几乎 adj. 大部分的，多数的；最多的 n. 大部分，大多数
mother	 n.  母亲， 妈妈
mother	 n. 母亲；大娘；女修道院院长 v. 生下；养育；像母亲般关怀或照管 adj. 母亲的；出生地的
motherland	 n. 祖国；母国
motivation	 n. 动机；积极性；推动
motor	 n. 发动机，马达；汽车 adj. 汽车的；机动的 v. 乘汽车
motorbike	 n. 摩托车
motorcycle	 n. 摩托车；机动车 v. 骑摩托车
motto	 n. 座右铭，格言；箴言
mountain	 n. 山；
mountain	 n. 山；山脉
mountainous	 adj. 多山的；巨大的；山一般的
mourn	 v. 哀悼；忧伤；服丧
mouse	 n.  鼠； 胆小的人； 鼠标
mouse	 n. 鼠标；老鼠；胆小羞怯的人 v. 探出
moustache	 n. 小胡子；髭；触须
mouth	 n.  嘴， 口
mouth	 n. 口，嘴；河口 v. 做作地说，装腔作势地说；喃喃地说出
mouthful	 n. 一口，满口
move	 n. 移动；步骤；迁居；策略 v. 移动；搬家，迁移；离开
move	 v.  移动， 搬动， 搬； 动摇， 使改变主意； 感动， 激起； 进展， 发展
movement	 n. 运动；活动；运转；乐章
movie	 n.  电影， 影片； 电影院， 电影业
movie	 n. 电影；电影院；电影业 adj. 电影的
much	 adv. 十分，非常 pron.  许多， 大量
much	 adv. 非常，很 adj. 大量的 n. 许多，大量 pron. 许多，大量
mud	 v. 弄脏；用泥涂 n. 泥；诽谤的话；无价值的东西
muddy	 adj. 泥泞的；模糊的；混乱的 v. 使污浊；使沾上泥；把…弄糊涂
multiply	 v. 乘；使增加；使繁殖；使相乘 adv. 多样地；复合地 adj. 多层的；多样的
murder	 v. 谋杀，凶杀 n. 谋杀，凶杀
museum	 n.  博物馆
museum	 n. 博物馆
mushroom	 n. 蘑菇，伞菌；蘑菇形物体；暴发户 adj. 蘑菇的；蘑菇形的；迅速生长的 v. 迅速增加；采蘑菇；迅速生长
music	 n.  音乐， 乐曲
music	 n. 音乐，乐曲
musical	 adj. 音乐的；悦耳的 n. 音乐片
musician	 n.  音乐家， 乐师
musician	 n. 音乐家
must	 aux. 必须，一定；可以，应当；很可能 n. 绝对必要的事物；未发酵葡萄汁
must	 n.  必须做的事； 必备之物
mustard	 n. 芥末；芥菜；深黄色；强烈的兴趣
mutton	 n. 羊肉
my	 pron.  我的
my	 pron. 我的 int. 哎呀（表示惊奇等）；喔唷 n. (My)人名；(越)美；(老、柬)米
myself	 pron.  我自己； 我亲自， 我本人
myself	 pron. 我自己；我亲自；我的正常的健康状况和正常情绪
mysterious	 adj.  神秘的， 难以理解的
mystery	 n.  秘密， 神秘的事物
nail	 v. 钉；使固定；揭露 n. [解剖] 指甲；钉子
name	 n.  名字， 名称； 名声， 名誉
name	 n. 名称，名字；姓名；名誉 v. 命名，任命；指定；称呼；提名；叫出 adj. 姓名的；据以取名的
narrow	 adj. 狭窄的，有限的；勉强的；精密的；度量小的 n. 海峡；狭窄部分，隘路 v. 使变狭窄
nation	 n. 国家；民族；国民
national	 adj.  国家的， 全国的； 民族的； 国有的， 国立的
national	 adj. 国家的；国民的；民族的；国立的 n. 国民
nationality	 n. 国籍，国家；民族；部落
nationwide	 adj. 全国范围的；全国性的 adv. 在全国
native	 adj. 出生地的；当地的 n.  土生土长者， 本国人
native	 adj. 本国的；土著的；天然的；与生俱来的；天赋的 n. 本地人；土产；当地居民
natural	 adj.  自然的， 正常的； 出于本性的， 天赋的； 自然界的， 天然的
natural	 adj. 自然的；物质的；天生的；不做作的 n. 自然的事情；白痴；本位音
nature	 n.  大自然， 自然界； 本性， 性格， 性情； 性质， 类型
nature	 n. 自然；性质；本性；种类
navy	 n. 海军
near	 adj. 近的；亲近的；近似的 adv. 近；接近 prep. 靠近；近似于
near	 adv. 近，在近处 adj.  近的， 接近的； 亲近的 prep. 靠近，接近
nearby	 adj. 附近的，邻近的 adv. 在附近 prep. 在…附近
nearby	 adv.  在附近 adj. 附近的
nearly	 adv. 差不多，几乎；密切地
neat	 adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
necessary	 adj. 必要的，必需的；必然的，势必的，不可避免的 n.  必需品
necessary	 adj. 必要的；必需的；必然的 n. 必需品
neck	 n.  颈， 脖子； 领圈， 领口
neck	 n. 脖子；衣领；海峡 v. 搂著脖子亲吻；变狭窄
necklace	 n. 项链
necktie	 n. 领带
need	 n. 需要，要求；缺乏；必要之物 v. 需要
need	 v. 需要；必须 n.  需要， 必要； 缺乏； 迫切要求
needle	 n. 针；指针；刺激；针状物 v. 缝纫；做针线
negative	 adj. 否定的；消极的；负的 n.  底片； 负数
negotiate	 v. 谈判，商议；转让；越过
neighbor	 n.  邻居； 邻国
neighbour	 n. n邻居;同胞；仁慈的人 v. 邻接 adj. 邻居的；邻近的
neighbourhood	 n. 邻近；周围；邻居关系；附近一带
neither	 adv.  也不 pron. 两者都不
neither	 conj. 也不；既不 adv. 两个都不；既不……也不 adj. 两者都不的 pron. 两者都不
nephew	 n. 侄子；外甥
nervous	 adj.  神经紧张的， 情绪不安的； 神经系统的； 神经性的
nervous	 adj. 神经的；紧张不安的；强健有力的
nest	 n. 巢，窝；安乐窝；温床 v. 筑巢；嵌套
net	 adj.  净的， 纯的 n. 网；网状系统
net	 n. 网；网络；净利；实价 v. 编网 adj. 纯粹的；净余的
network	 n. 网络；广播网；网状物
never	 adv.  从不， 永不； 决不， 千万不
never	 adv. 从未；决不
new	 adj. 新的，新鲜的；更新的；初见的 adv. 新近 n. (New)人名；(英)纽
new	 adv.  新近 adj. 新的；新鲜的，新型的，流行的；更新的
news	 n. 新闻，消息；新闻报导
newspaper	 n.  报纸
newspaper	 n. 报纸
next	 adv.  接下去， 然后； 居后地， 次于 adj. 下一个的；紧接在后的；接下来的
next	 adv. 然后；下次；其次 adj. 下一个的；其次的；贴近的 n. 下一个 prep. 靠近；居于…之后
nice	 adj.  好的； 令人愉快的； 友好的， 好心的； 细致的
nice	 adj. 精密的；美好的；细微的；和蔼的 n. (Nice)人名；(英)尼斯
niece	 n. 外甥女，侄女
night	 n.  夜， 夜晚
night	 n. 夜晚，晚上；黑暗，黑夜 adj. 夜晚的，夜间的
nine	 n. 九，九个 num. 九；九个 adj. 九的，九个的
nine	 num.  九， 九个
nineteen	 num.  十九， 十九个
nineteen	 num. 十九
nineteenth	 num. 第十九 n.  十九分之一
ninety	 n. 九十 adj. 九十的；九十岁的 num. 九十
ninety	 num.  九十， 九十个
ninth	 num. 第九 adj. 第九的；九分之一的 n. 九分之一
ninth	 num. 第九 n.  九分之一
no	 adv. 不 adj. 没有；不是 n. 不；否决票 abbr. 数字（number）；元素锘（nobelium）的符号
noble	 adj. 高尚的；贵族的；惰性的；宏伟的 n. 贵族 vt. 抓住；逮捕
nobody	 pron. 无人，没有人；没有任何人 n. 无名小卒；小人物
nobody	 pron. 没有人，无人 n.  无足轻重的人
nod	 n. 点头；打盹；摆动 v. 点头；点头表示
noise	 n.  声音， 响声； 噪音
noise	 n. [环境] 噪音；响声；杂音 v. 谣传
noisily	 adv. 吵闹地，喧闹地
noisy	 adj. 嘈杂的；喧闹的；聒噪的
none	 adv.  一点也不， 毫不， 毫无 pron. 没有一人，没有一点儿
none	 pron. 没有人；一个也没有；没有任何东西 adj. 没有的，一点没有的 adv. 决不，一点也不 n. (None)人名；(葡、罗)诺内；(日)野根(姓)
noodle	 n.  面条
noodle	 n. 面条；笨蛋
noon	 n.  正午， 中午
noon	 n. 中午；正午；全盛期
nor	 conj&adv.  也不， 也没有
nor	 conj. 也不；也不是 adv. 也不；也没有 n. (Nor)人名；(中)挪(广东话·威妥玛)；(马来、俄)诺尔；(柬)诺
normal	 adj.  正常的， 平常的； 正规的， 规范的
normal	 adj. 正常的；正规的，标准的 n. 正常；标准；常态
north	 adv.  向北方 adj. 北方的，北部的；来自北方的 n. 北，北部
north	 n. 北，北方 adj. 北方的；朝北的 adv. 在北方，向北方
northeast	 adj. 东北的；向东北的；来自东北的 n. 东北 adv. 向东北；来自东北
northern	 adj.  北方的， 北部的
northern	 adj. 北部的；北方的 n. 北部方言
northwards	 adv. 向北
northwest	 adj. 西北的；向西北的；来自西北的 n. 西北 adv. 在西北；向西北；来自西北
nose	 n. 鼻子；嗅觉；突出的部分；探问 v. 嗅；用鼻子触
nose	 v.  嗅出， 探出 n. 鼻子；鼻状物，前端突出部分
not	 adv.  不， 没， 不是
not	 adv. 表示否定，不 n. “非”（计算机中逻辑运算的一种）
note	 n.  短笺， 便条； 记录， 笔记； 注解； 音调， 音符
note	 n. 笔记；音符；票据；注解；纸币；便笺；照会；调子 v. 注意；记录；注解
notebook	 n.  笔记本
notebook	 n. 笔记本，笔记簿；手册
nothing	 neg. 没什么；毫不 n. 无；零；不关紧要之事 adv. 毫不；决不 pron. 无事；无物 int. 什么也没有
nothing	 pron.  没有东西， 没有事情， 一点儿也没有； 无关紧要的人
notice	 n. 通知，布告；注意；公告 v. 通知；注意到；留心
notice	 v. 注意到，察觉到 n.  注意， 察觉； 通知， 布告
novel	 adj. 新奇的；异常的 n. 小说
novelist	 n. 小说家
now	 adv.  现在， 如今； 此刻
now	 adv. 现在；如今；立刻 adj. 现在的 n. 现在；目前 conj. 由于；既然
nowadays	 adv. 现今；时下 n. 当今
nowhere	 adv. 无处；任何地方都不；毫无结果 n. 无处；任何地方；无名之地 adj. 不存在的；毫无结果的；不知名的
nuclear	 adj. 原子能的；[细胞] 细胞核的；中心的；原子核的
numb	 v. 使麻木；使发愣；使失去感觉 adj. 麻木的；发愣的
number	 n. 数；（杂志等的）期；号码；数字；算术 v. 计入；总数达到
number	 v.  给…编号 n. 数目，数字；号码，编号
nurse	 v.  护理， 照料 n. 护士；保姆，保育员
nurse	 v. 看护，护理；照顾；培养；给…喂奶 n. 护士；奶妈，保姆
nursery	 n. 苗圃；托儿所；温床
nursing	 n. 护理；看护；养育 v. 看护；养育（nurse的ing形式）
nut	 n. 螺母，螺帽；坚果；难对付的人，难解的问题 v. 采坚果
nutrition	 n. 营养，营养学；营养品
nylon	 n. 尼龙，[纺] 聚酰胺纤维；尼龙袜
oak	 n.  橡树； 橡木
obey	 v.  服从， 听从
obey	 v. 服从，听从；按照……行动 n. (Obey)人名；(英、法)奥贝
object	 n. 目标；物体；客体；宾语 v. 提出…作为反对的理由
object	 v.  反对， 不赞成； 反对， 不赞成
observe	 v. 庆祝
obtain	 v. 获得；流行
obvious	 adj. 明显的；显著的；平淡无奇的
occupation	 n. 职业；占有；消遣；占有期
occur	 v. 发生；出现；存在
ocean	 n.  洋， 海洋； 许多， 大量
of	 prep.  …的； 由…制成的； 含有…的， 装有…的
of	 prep. 关于；属于；…的；由…组成的
off	 adv.  距， 离， 到； 离开； 出发， 起跑； 不发生， 取消； 断开， 不供
off	 prep. 离开；脱落 adv. 切断；走开 adj. 远离的；空闲的
offence	 n. 犯罪；违反；过错；攻击
offend	 v.  冒犯， 得罪； 伤害…的感情； 使厌恶， 使不舒服； 违犯， 违反
offer	 v. 提供；出价；试图 n. 提议；出价；意图；录取通知书
offer	 v. 给予，提供；表示愿意；提出，提议 n.  提供， 提议； 报价， 开价
office	 n.  办公室， 办事处， 营业所； 处， 所， 局； 公职， 官职， 职责； 帮忙， 服务
office	 n. 办公室；政府机关；官职；营业处
officer	 n. 军官，警官；公务员，政府官员；船长 v. 指挥
offshore	 adj. 离岸的；[海洋] 近海的；吹向海面的 adv. 向海面，向海
often	 adv.  常常， 经常
often	 adv. 常常，时常
oh	 int. 哦；哎呀（表示惊讶或恐惧等）
oil	 n. 油；石油；油画颜料 v. 加油；涂油；使融化
oil	 v.  给…加润滑油； 使涂满油 n. 油；润滑油；石油，燃料油；油画；油画颜料
oilfield	 n. 油田
old	 adj.  老的， 年老的； 古老的， 陈旧的， 过时的； …岁的， …久的； 以前的， 过去
old	 adj. 陈旧的，古老的；年老的 n. 古时
omelette	 n. 煎蛋卷
on	 adv. 向前地；作用中，行动中；继续着 prep. 向，朝……；关于；在……之上；在……时候 adj. 开着的；发生着的，正在进行中 n. (On)人名；(日)温(姓、名)；(缅、柬、印)翁
on	 prep.  在…上； 向， 朝， 针对； 靠近…， 在…旁； 关于， 论及； 凭， 靠， 根据； 处
once	 adv. 一次，一回；曾经，一度 conj.  一旦…就…
once	 adv. 一次；曾经 conj. 一旦 n. 一次，一回
one	 pron.  一人， 一个； 一个人， 任何人 num. 一，一个
one	 pron. 一个人；任何人 adj. 一的；唯一的 n. 一 num. 一；一个
oneself	 pron.  自己， 自身； 亲自， 本人
oneself	 pron. 自己；亲自
onion	 n.  洋葱， 洋葱类植物
onion	 n. 洋葱；洋葱头
online	 adj.  在线的； 联机的， 联网的
only	 adv. 只，仅仅，才；不料，反而，结果却 adj.  唯一的， 仅有的； 最好的， 独一
only	 adv. 只，仅仅；不料 adj. 唯一的，仅有的；最合适的 conj. 但是；不过；可是
onto	 prep. 在…之上；对…了解；映射到…上 adj. 映射的；自身的；映成的
open	 adj.  开着的； 公开的； 坦率的； 开阔的； 开始营业的； 空缺
open	 adj. 公开的；敞开的；空旷的；坦率的；营业着的 v. 开始；展现 n. 公开；空旷；户外
opener	 n. [五金] 开启工具；开启的人
opening	 n. 开始；机会；通路；空缺的职位 adj. 开始的 v. 开放（open的ing形式）；打开；公开
opera	 n.  歌剧
opera	 n. 歌剧；歌剧院；歌剧团
operate	 v.  动手术； 起作用； 经营， 管理
operate	 v. 运转；动手术；起作用
operation	 n.  操作， 运转， 经营； 手术； 行动， 活动； 运算
operation	 n. 操作；经营；[外科] 手术；[数][计] 运算
operator	 n. 经营者；操作员；话务员；行家
opinion	 n.  意见， 主张
opinion	 n. 意见；主张
opportunity	 n.  机会， 良机
oppose	 v. 反对；对抗，抗争
opposite	 adj. 对面的，对立的，相反的 n.  对立面； 对立物
opposite	 adj. 相反的；对面的；对立的 n. 对立面；反义词 prep. 在…的对面 adv. 在对面
optimistic	 adj. 乐观的；乐观主义的
optional	 adj. 可选择的，随意的 n. 选修科目
or	 conj.  或， 或者， 还是； 即， 或者说； 否则， 要不然
or	 conj. 或，或者；还是 n. (Or)人名；(中)柯(广东话·威妥玛)；(柬)奥；(土、匈、土库、阿塞、瑞典)奥尔
oral	 adj. 口头的，口述的 n. 口试
orange	 adj.  橙色的 n. 橙，柑，橘；橙汁，橘汁
orange	 adj. 橙色的；橘色的 n. 橙；橙色；桔子
orbit	 n. 轨道；眼眶；势力范围；生活常规 v. 盘旋；绕轨道运行
order	 n. 命令；顺序；规则；[贸易] 定单 v. 命令；整理；定购
ordinary	 adj. 普通的；平凡的；平常的 n. 普通；平常的人（或事）
organ	 n. [生物] 器官；机构；风琴；管风琴；嗓音
organise	 v. 组织起来；组织工会
organiser	 n. 组织者；发起人；形成体（等于organizer）
organization	 n. 组织；机构；体制；团体
organize	 v.  组织， 安排； 使有条理； 使有机化
origin	 n. 起源；原点；出身；开端
original	 adj. 最初的，原始的；新颖的，有创意的；原创性的 n.  原件
other	 adj.  别的， 其他的， 另外的； 另一的， 其余的
other	 adj. 其他的，另外的 pron. 另外一个
otherwise	 adv. 否则；另外；在其他方面 adj. 另外的；其他方面的；原本，本来 conj. 其他；如果不；然后
ouch	 n. 扣环 int. 哎哟（突然疼痛时发出的声音）
ought	 aux. 应该，应当；大概 vi. 应该，应当；大概
our	 pron.  我们的
our	 pron. 我们的
ours	 pron.  我们的
ours	 pron. 我们的 n. (Ours)人名；(法)乌尔斯
ourselves	 pron.  我们自己； 我们亲自
ourselves	 pron. 我们自己；我们亲自
out	 adv.  出， 向外； 在外， 不在； 出
out	 adv. 出现；在外；出局；出声地；不流行地 adj. 外面的；出局的；下台的 n. 出局 prep. 向；离去 v. 出来；暴露
outcome	 n. 结果，结局；成果
outdoor	 adv.  在户外， 在野外 adj. 户外的，野外的
outdoors	 adv. 在户外 n. 户外 adj. 户外的（等于outdoor）
outer	 adj. 外面的，外部的；远离中心的 n. 环外命中
outgoing	 adj.  外出的， 离开的； 即将离职的； 友好的， 好交际的； 外向的
outgoing	 adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的 n. 外出；流出；开支 v. 超过；优于（outgo的ing形式）
outing	 n. 远足；短途旅游；体育比赛 adj. 远足适用的 v. 出来；暴露（out的ing形式）
outline	 n. 轮廓；大纲；概要；略图 v. 概述；略述；描画…轮廓
output	 n. 输出，输出量；产量；出产 v. 输出
outside	 adj. 外面的，外部的；外来的 n. 外部；外观 adv. 在外面，向外面；在室外 prep. 在…范围之外
outside	 adv. 在外面，向外面 adj.  外面的， 外部 prep. 在…外面，向…外面；除…以外
outspoken	 adj. 坦率的，直言不讳的
outstanding	 adj.  杰出的； 明显的； 未解决的； 未偿付的
outstanding	 adj. 杰出的；显著的；未解决的；未偿付的 n. 未偿贷款
outward	 adj. 向外的；外面的；公开的；外服的；肉体的 adv. 向外（等于outwards）；在外；显而易见地 n. 外表；外面；物质世界
oval	 adj. 椭圆的；卵形的 n. 椭圆形；卵形
over	 adv. 结束；越过；从头到尾 prep. 越过；在…之上；遍于…之上 adj. 结束的；上面的 vt. 越过 n. (Over)人名；(俄、西、土)奥韦尔
over	 prep.  在…上方， 在…上面； 越过， 从一侧到另一侧； 高于， 超过； 在…期间；
overcoat	 n. 大衣，外套
overcome	 v. 克服；胜过
overlook	 v. 忽略；俯瞰；远眺；检查；高耸于…之上 n. 忽视；眺望
overseas	 adv. 在海外，在国外 adj.  海外的， 国外的，
overweight	 adj. 超重的；过重的 vt. 使负担过重 n. 超重
owe	 v. 欠；感激；应给予；应该把……归功于 n. (Owe)人名；(瑞典、挪)奥弗
own	 adj. 自己的 v.  有， 拥有
own	 v. 拥有；承认 adj. 自己的；特有的 n. 自己的
owner	 n.  物主， 所有人
owner	 n. [经] 所有者；物主
ownership	 n. 所有权；物主身份
ox	 n. 牛；公牛
oxygen	 n. [化学] 氧气，[化学] 氧
pace	 n. 一步；步速；步伐；速度 v. 踱步；缓慢而行
pack	 n. 包装；一群；背包；包裹；一副 v. 包装；压紧；捆扎；挑选；塞满
pack	 v.  捆扎， 打包； 挤在一起； 塞满
package	 n. 包，包裹；套装软件，[计] 程序包 adj. 一揽子的 v. 打包；将…包装
packet	 n. 数据包，信息包；小包，小捆 vt. 包装，打包
paddle	 n. 划桨；明轮翼 v. 拌；搅；用桨划
page	 n.  页， 张
page	 n. 页；记录；大事件，时期；男侍者 v. 给…标页码
pain	 n. 疼痛；努力 v. 使…痛苦；使…烦恼
pain	 v.  使痛苦 n. 痛，疼痛；痛苦，悲痛；
painful	 adj. 痛苦的；疼痛的；令人不快的
paint	 v. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等 n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰
painter	 n. 画家；油漆匠
painting	 n. 绘画；油画；着色 v. 绘画（paint的ing形式）；涂色于
pair	 n. 一对，一双，一副 v. 把…组成一对
pair	 v.  成对， 配对 n. 一双，一对，一副；一对夫妇，一对情侣
palace	 n. 宫殿；宅邸；豪华住宅
pan	 n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘 v. 淘金；在浅锅中烹调（食物）；[非正式用语]严厉的批评
pancake	 n.  薄煎饼， 烙饼
pancake	 n. 薄烤饼；粉饼；平降（全称pancake landing） vi. 平坠着陆；平展 vt. 使平坠著陆；使平展
panda	 n.  熊猫
panda	 n. 熊猫；猫熊
panic	 n. 恐慌，惊慌；大恐慌 adj. 恐慌的；没有理由的 v. 使恐慌
paper	 n.  纸， 墙纸； 报纸； 文件； 文章， 论文； 书面作业， 试卷
paper	 n. 纸；论文；文件；报纸 adj. 纸做的 v. 用纸糊；用纸包装
paperwork	 n. 文书工作
paragraph	 n. 段落；短评；段落符号 v. 将…分段
parallel	 n. 平行线；对比 v. 使…与…平行 adj. 平行的；类似的，相同的
parcel	 n. 包裹，小包 v. 打包；捆扎
pardon	 n. 原谅；赦免；宽恕 v. 原谅；赦免；宽恕
parent	 n.  父亲， 家长
parent	 n. 父亲（或母亲）；父母亲；根源
park	 n. 公园；[交] 停车场 v. 停放；放置；寄存
park	 v.  停放 n. 公园；停车场
parking	 n. 停车 adj. 停车的 v. 停车（park的ing形式）
parrot	 n.  鹦鹉
parrot	 n. 鹦鹉；学舌者，应声虫；机械模仿别人的人 v. 机械地模仿
part	 n.  一部分， 部分； 零件； 角色； 职责， 作用； 器官，
